,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
1,137,712428318260244480,"@MalyndaNyc Same here - I have been called every pejorative imaginable by Clinton supporters, very sad!
#OfThePeople #StillSanders",0,0,Twitter Web Client,2016-03-22 23:58:42,2664205285,scout_lisa,Lisa Scout,2014-07-20 22:28:12,Mother - LGBT & Human Rights Activist,379,1452,"Anchorage,  Alaska",,2,0.127
2,1799,712424864288641024,"RT @danmericaCNN: Ahead of her event tonight in Seattle, the city's mayor - Ed Murray - endorses Hillary Clinton.",169,0,Twitter for iPad,2016-03-22 23:44:58,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1512,2262,Alaska,,0,1.0
3,4029,712420630595915776,RT @Robin182zz: Sanders gasping against Clinton as race heads West - POLITICO https://t.co/UbcB3yldwH https://t.co/cYrHMChmGI,4,0,Twitter for iPad,2016-03-22 23:28:09,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1512,2262,Alaska,,0,1.0
4,4639,712419603171844097,"RT @AbbsWinston: #HillaryClinton : Destroy Syria for israel: “The Best Way to Help israel” Proxy in Syria 
https://t.co/dDoZ09LXVo https://…",110,0,Twitter Web Client,2016-03-22 23:24:04,2906473932,unconcious0,high horse Catholic,2014-11-22 00:38:09,u.s.m.c.- uss intrepid-69-71 Semper Fi       .DESTROYER OF DAESH.ps.I don't buy followers.,4514,4511,LOST some where in Alaska.,Pacific Time (US & Canada),1,0.265
5,4641,712419602584576000,RT @GaetaSusan: DIA E-Mails↔ISIS Deliberately Armed &amp; Funded By Obama &amp; Clinton✔💥#treason #genocide #evil http://t.co/TTKDY7q9PX http://t.c…,5942,0,Twitter for iPhone,2016-03-22 23:24:04,366819502,FredZeppelin12,FredZeppelin,2011-09-02 21:54:02,It ends only once. Make the most of each day. Proud man-made global warming denier and member of the vast right wing conspiracy,37344,25046,The Great State of Alaska,Alaska,3,0.063
6,4707,712419487505453056,"RT @DrMartyFox: #Brussels 

#Hillary Warns Against #Islamophobia 

She Does Not Want To Anger Her Donors 

https://t.co/PelcMdI0uJ https://…",396,0,Twitter for iPhone,2016-03-22 23:23:36,366819502,FredZeppelin12,FredZeppelin,2011-09-02 21:54:02,It ends only once. Make the most of each day. Proud man-made global warming denier and member of the vast right wing conspiracy,37344,25046,The Great State of Alaska,Alaska,3,0.063
7,6605,712415991372746752,"Retweeted CNN Politics (@CNNPolitics):

Poll: Donald Trump and Hillary Clinton score historic unfavorable ratings... https://t.co/wppQWXrJul",0,0,Facebook,2016-03-22 23:09:43,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,0,1.0
8,6612,712415979456712704,RT @CNNPolitics: Poll: Donald Trump and Hillary Clinton score historic unfavorable ratings https://t.co/DrDPt7PcNC https://t.co/D6Ul0IN9c1,224,0,Twitter for Android,2016-03-22 23:09:40,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,0,1.0
9,7173,712414830670393345,RT @Hillary2016Pres: 7 of Hillary Clinton’s biggest accomplishments. https://t.co/ILVQpFt9X3 @HillaryClinton #Hillary2016 #GOPdebate https:…,11,0,Twitter for iPad,2016-03-22 23:05:06,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1512,2262,Alaska,,2,0.127
10,8016,712413204224192512,Did you know Hillary drove the Alcan Hwy and lived in Alaska? Catch the live Interview with Hillary Clinton as... https://t.co/jTvDD6HE2R,1,0,Facebook,2016-03-22 22:58:38,164013340,970KFBX,970KFBX-AM Fairbanks,2010-07-07 20:52:17,,460,692,Fairbanks Alaska,Alaska,0,1.0
11,8505,712412370027433986,"RT @ROCKWITHBECK: #NeverHillary &gt; Judicial Watch: New (LIAR) @HillaryClinton Documents Raise Questions on Benghazi, Clinton Foundation http…",1,0,Twitter for iPhone,2016-03-22 22:55:19,61076635,donnas0818,"Oh, Donna",2009-07-29 01:25:51,"Conservative, Christian, fiercely patriotic, wife, mother, grandmother, Finance Director, AND totally fed up with the direction our country is headed.",1402,1940,Alaska,,1,0.265
12,9369,712410840503222272,Long waits suggest big Arizona primary turnout https://t.co/5cHkMggUhA via @usatoday #Arizona #vote,0,1,Twitter Web Client,2016-03-22 22:49:14,151563607,EdnaPinky,Edna Liza,2010-06-03 18:05:40,"Born & raised in LA.I love my City of Angels. Student, I love Photography, Art, Politics, Debates.",741,1934,"Alaska, USA",Arizona,2,0.127
13,10244,712409184378212352,Hillary Clinton takes first Alaska questions -- from an Anchorage pop radio station https://t.co/eyMvLTLEJ9,0,1,Facebook,2016-03-22 22:42:40,2837404280,AKPoliticalBeat,APE Online,2014-10-02 01:18:01,,91,246,Alaska,,0,1.0
14,10465,712408770077265920,RT @JoshSchwerin: Hillary Clinton statement on terrorist attacks in Brussels https://t.co/uMyupclR4R,129,0,Twitter for iPad,2016-03-22 22:41:01,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,0,1.0
15,11283,712406999460409344,"Retweeted #Q13FOX (@Q13FOX):

WATCH LIVE: Hillary Clinton at Puyallup's Chief Leschi &gt;&gt;&gt; https://t.co/OwyTKIKh4B https://t.co/eHmdtsXiU9",0,0,Facebook,2016-03-22 22:33:59,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,1,0.265
16,11298,712406969961676800,RT @Q13FOX: WATCH LIVE: Hillary Clinton at Puyallup's Chief Leschi &gt;&gt;&gt; https://t.co/ZGefqKfZl7,4,0,Twitter for Android,2016-03-22 22:33:52,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,0,1.0
17,11792,712406041858736129,@1Barbara1 @gatewaypundit So? #realDonaldTrump can't win GE. Brkrd convention will select one who can beat #Clinton. Not Don! #NeverTrump,0,0,Twitter Web Client,2016-03-22 22:30:10,703996252669652993,RiseToAmerica,RiseToAmerica,2016-02-28 17:32:41,"I cherish our American values, honor our military, value our freedom. I love America. I pray God keep her safe! Will you do the same? #NeverTrump @StopTrumpPAC",82,4,"Alaska, USA",Pacific Time (US & Canada),3,0.063
18,12314,712405180088619008,RT @HillarysMen: Behind The Scenes Of Hillary Clinton's Push For LGBT Rights At The State Department https://t.co/LrqNQds5n3 # via @HuffPos…,18,0,Twitter for iPad,2016-03-22 22:26:45,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,1,0.265
19,13542,712402883518423040,"RT @loudobbsnews: Judicial Watch: New Clinton Documents Raise Questions on Benghazi, Clinton Foundation https://t.co/VG1Gexkpaw  #LouDobbsT…",557,0,Twitter for iPhone,2016-03-22 22:17:37,61076635,donnas0818,"Oh, Donna",2009-07-29 01:25:51,"Conservative, Christian, fiercely patriotic, wife, mother, grandmother, Finance Director, AND totally fed up with the direction our country is headed.",1401,1940,Alaska,,1,0.265
20,13619,712402725372170241,RT @TnGovern: @SDzzz I can't understand why Bernie's campaign hacked the DNC computer and stole Hillary Clinton voter data. They are thieve…,17,0,Twitter for Android,2016-03-22 22:17:00,4005092840,Aroyaldmd,Glenna C,2015-10-24 18:45:12,"Mom, Grandma, #I'mWithHer Feminist, Proud Liberal, Planned P Volunteer, Love ALASKA fishing cooking , travel, & glass of good Red. ADD ME 2 LIST I'LL BLOCK YOU",1786,1921,"Alaska, USA",,0,1.0
21,15159,712400086391717893,Experts see little chance of charges in Clinton email case  https://t.co/tptZ69jkCy,3,3,Linkis.com,2016-03-22 22:06:31,4005092840,Aroyaldmd,Glenna C,2015-10-24 18:45:12,"Mom, Grandma, #I'mWithHer Feminist, Proud Liberal, Planned P Volunteer, Love ALASKA fishing cooking , travel, & glass of good Red. ADD ME 2 LIST I'LL BLOCK YOU",1786,1921,"Alaska, USA",,0,1.0
22,16475,712397981626929152,RT @jeneps: NEW: Hillary Clinton to speak on Brussels aftermath tomorrow at 11:15 a.m. PT at Stanford.,39,0,Twitter for Android,2016-03-22 21:58:09,4005092840,Aroyaldmd,Glenna C,2015-10-24 18:45:12,"Mom, Grandma, #I'mWithHer Feminist, Proud Liberal, Planned P Volunteer, Love ALASKA fishing cooking , travel, & glass of good Red. ADD ME 2 LIST I'LL BLOCK YOU",1786,1921,"Alaska, USA",,0,1.0
23,17108,712396855762522113,RT @questlove: so @cnn...you realize this headline is mad misleading......right?......or nah? https://t.co/vz6j9QyEN2,79,0,Twitter Web Client,2016-03-22 21:53:40,21004302,vjc411,Victoria Clark,2009-02-16 17:19:41,,219,817,"Anchorage, Alaska",Alaska,0,1.0
24,17393,712396394468876288,THANKS FOR SHARING. MANY BLESSINGS TO YOU ALL. https://t.co/UxnJF5tyvF,0,0,Facebook,2016-03-22 21:51:50,159595199,tribalvoice1,tribal voice,2010-06-25 20:40:21,,107,0,"Juneau, Alaska",,0,1.0
25,18242,712395118452416513,"RT @Hillary4Florida: Hillary Clinton's plan to keep America safe from terrorism:
https://t.co/VysPzMZQvS
#ImWithHer #WesternTuesday #AZPrim…",56,0,Twitter for iPhone,2016-03-22 21:46:46,59269191,LaFleur49,Kiska,2009-07-22 22:21:55,Beef cattle rancher & cut flower farmer,1113,2037,Alaska,Alaska,3,0.063
26,19798,712392650142261248,New Clinton Video Proves She Knew About this Grave Risk to National Security https://t.co/JaCvLbdo4E,0,0,Twitter Web Client,2016-03-22 21:36:58,2906473932,unconcious0,high horse Catholic,2014-11-22 00:38:09,u.s.m.c.- uss intrepid-69-71 Semper Fi       .DESTROYER OF DAESH.ps.I don't buy followers.,4514,4510,LOST some where in Alaska.,Pacific Time (US & Canada),0,1.0
27,20291,712391800728629248,"Rousseff vows to 'never resign' over growing scandal https://t.co/uTZeYeyWjg via @YahooNews Hillary Clinton, Jr.",0,0,Twitter Web Client,2016-03-22 21:33:35,54771958,donnabarrington,donna barrington,2009-07-08 02:38:53,"Alaskan misfit, mother of artists, life long learner, Richard Armitage fanatic, dog lover, eccentric and pugnacious.",264,386,"Anchorage, Alaska",,0,1.0
28,21106,712390132138029056,@JoyAnnReid I've been thinking. Bernie losing = Clinton name recognition + yawning chasm between white progressives and POC communities,0,0,Twitter Web Client,2016-03-22 21:26:57,1140636469,elementaldb,Malena Marvin,2013-02-01 20:14:49,"Alaskan fisher, designer/builder, yogi, & storyteller. I sell AK wild salmon with my fella at https://t.co/AEhX6we4nQ",55,107,"Alaska, USA",Pacific Time (US & Canada),0,1.0
29,21794,712388822957301762,"RT @RickRWells: Bill Clinton Calls Obama / Hillary Tenure An ""Awful Legacy"" 
https://t.co/SpILPDr3vF #trump2016 https://t.co/HYvnID9vH1",14,0,Twitter Web Client,2016-03-22 21:21:45,143288338,RealCinders2,Cinders2,2010-05-13 02:36:46,"widow,, 2 sons,, 2 daughter in laws ,, 7 grandkids ,,love animals,, conservative,,christian,, happy",3458,3745,Alaska,Alaska,1,0.265
30,22837,712386990491045888,"RT @POW_Vote: Why #ImWithHerAndUnapologetic. Powerful, Smart, More than Capable. @HuffingtonPost ofrs 65 more rsns #ImWithHer https://t.co/…",68,0,Twitter for iPad,2016-03-22 21:14:28,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,2,0.127
31,23935,712384924053966849,RT @Deemoney521: Perez coy about Clinton veep speculation https://t.co/ynoNdlhI1c #ImWithHer #Spring4Hillary,3,0,Twitter for iPad,2016-03-22 21:06:16,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,2,0.127
32,24082,712384653894627328,"RT @Deemoney521: Hillary Clinton, Fools among Sanders Fans,  and Walmart Demons of the 20th Century https://t.co/Ipx25k8UWE #imwithher #Spr…",7,0,Twitter for iPad,2016-03-22 21:05:11,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,2,0.127
33,25347,712382174968741888,RT @DailyCaller: Hillary Clinton At AIPAC: ‘What’s Taking Us So Long’ To Elect A Female President? [VIDEO] https://t.co/pF6QmaXZOh https://…,9,0,Twitter for Android,2016-03-22 20:55:20,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8002,8373,Alaska and Washington State ,Alaska,0,1.0
34,25837,712381286241820672,"RT @TyJuanOn: No, Bill Clinton Did Not Describe The Obama Administration As An 'Awful Legacy' https://t.co/wn3SiX8rCS via @crooksandliars",5,0,Twitter for iPad,2016-03-22 20:51:48,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,0,1.0
35,27192,712378733559033856,RT @stylistkavin: BREAKING:  Seattle Mayor Ed Murray Endorses Hillary Clinton for President https://t.co/fXfgioVtJR,66,0,Twitter for iPad,2016-03-22 20:41:40,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,0,1.0
36,27777,712377730403213313,Bill Clinton Rips ‘Awful Legacy of the Last Eight Years’ of Obama Presidency https://t.co/xj1GIAgGc4,0,0,Twitter Web Client,2016-03-22 20:37:40,2906473932,unconcious0,high horse Catholic,2014-11-22 00:38:09,u.s.m.c.- uss intrepid-69-71 Semper Fi       .DESTROYER OF DAESH.ps.I don't buy followers.,4514,4510,LOST some where in Alaska.,Pacific Time (US & Canada),0,1.0
