,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
1,522,710978933970173952,"RT @TPM: Trump asks his supporters to boycott Megyn Kelly's show
https://t.co/LDAWF8CISm https://t.co/HX2q8BHtsq",217,0,Twitter for iPhone,2016-03-18 23:59:21,1976035584,ConayH,Fed Up Co,2013-10-20 18:56:15,Education is the great equalizer.,399,1309,"Scottsdale, Arizona",Arizona,0,1.0
2,595,710978909332869120,RT @FishmanLevine: Gloves Are Off: Trump Accuses Hillary Clinton of “Corruption Most of Her Professional Life” https://t.co/BzJBElDSDm via …,75,0,Twitter for Android,2016-03-18 23:59:15,629583217,marcsteiner111,marcsteiner111,2012-07-07 19:20:00,"lib. smashing Obama bashing Conservative , AZ Trucker , avid listener of Hannity and Dr michael Savage radio shows.... #TCOT",2754,2615,"Arizona desert,  ",Arizona,0,1.0
3,602,710978907361583104,"The Religious Right is in a battle for souls, and it’s losing to Donald Trump: https://t.co/SJXoaWNFOq via @slate",0,0,Twitter Web Client,2016-03-18 23:59:15,2227838599,BenCoop14,בנימין,2013-12-03 06:55:46,I talk about politics too much. Sorry. I enjoy weird electronic music a bit too much. Sorry. Retweets are not endorsements.,134,167,Arizona,Arizona,0,1.0
4,745,710978867767287808,"This works for me. I'd rather kick out the #GOPe who wont back Cruz or Trump, bt it's yer vote. @Scully64 @SherriWilkie @realDonaldTrump",0,0,Twitter Web Client,2016-03-18 23:59:06,788255594,djaznh,deb-az,2012-08-29 01:28:18,"Veteran Former DNC member who wandered out of the fog.. Republican by definition, not, GOP. Support #TedCruz2016  #CruzCrew #Prolife",2099,2067,Arizona and New Hampshire,,1,0.265
5,1321,710978699600900096,"RT @dee3620: NICELY SAID
Newt Gingrich: 'The Only President Remotely Like Trump is Andrew Jackson' - Breitbart https://t.co/7bZi4ssgw3",2,0,Twitter for iPhone,2016-03-18 23:58:25,1976035584,ConayH,Fed Up Co,2013-10-20 18:56:15,Education is the great equalizer.,399,1309,"Scottsdale, Arizona",Arizona,0,1.0
6,1497,710978649973858305,Anti-Trump forces contemplate the end https://t.co/vZPK1SGQv4,0,0,Twitter Web Client,2016-03-18 23:58:14,1311194118,MistressRazz,Razz Berry,2013-03-28 17:09:42,"Thou shalt not believe the rhetoric.
Thou shalt not stop investigating the truth.
Thou shalt not deter from sharing truth & love for humanity.",626,385,Arizona,Pacific Time (US & Canada),0,1.0
7,1500,710978648526823424,@JeffFlake @SenJohnMcCain here's your oportunity or you may have to accept a liberal juge or worse Trump's sister. https://t.co/DVBdfEAP0Y,0,0,Twitter for Android,2016-03-18 23:58:13,1486854493,PoliticalMinion,Political Minion,2013-06-06 04:43:23,Educated genetically altered Arizona constituent looking for commonsense answers to tough problems.,799,1365,Arizona,,0,1.0
8,1624,710978609775828994,"FOX10Phoenix: RT MarcyJonesFox10: When asked if she was preparing for the #Trump Rally a Fountain Hills woman replied ""Yeah, my friends and…",0,0,IFTTT,2016-03-18 23:58:04,703603733092044800,JamesWyseAZ,Arizona 100,2016-02-27 15:32:57,"https://t.co/x7IxYgBLtS Celebrating #Arizona over the last #100years. Proudly promoting #tourism, #localbusiness, #localnews and #sportsnews",36,13,"Arizona, USA",Pacific Time (US & Canada),1,0.265
9,2348,710978390887522304,RT @CarlyFiorina: I ran for president because I believe it is time to take our country back from Washington. https://t.co/GqCHyBbW2L,756,0,Twitter for iPhone,2016-03-18 23:57:12,17904365,Candice_AZ,Candice,2008-12-05 18:45:36,Christian. Desert explorer and lover of Ridgebacks. Ardent conservative. Occasional storm chaser and geomorphology photographer.,1683,1951,"Mesa, Arizona",Arizona,0,1.0
10,2640,710978303184605185,Gilbert Gottfried:  Trump Is 'Hitler Without The Warmth',0,2,Twitter Web Client,2016-03-18 23:56:51,18368976,jazzvideoguy,jazzvideoguy,2008-12-25 02:24:51,"Former Soul Train line dancer, now web video enthusiast seeking people who speak the truth, no matter what the cost.",7234,85,"Tucson, Arizona",Pacific Time (US & Canada),0,1.0
11,2784,710978254203564033,RT @TheEconomist: How non-voters could have stopped Trump https://t.co/Vysuu0O4yA https://t.co/ULhjZgV0NM,283,0,Twitter for Android,2016-03-18 23:56:39,109425543,azyeoman,John Liffiton,2010-01-29 00:56:22,,177,242,"Phoenix, Arizona",Arizona,0,1.0
12,3614,710978001022820352,👍👍 RT @DivineMoments: #Trump favorables are surging.. They are ahead of Cruz. #LouDobbs,1,1,TweetCaster for Android,2016-03-18 23:55:39,32816955,PamCeeInAz,PamCeeInAz,2009-04-18 06:42:50,"Proud American; Cooking show junkie! Proud Packers Fan, AZ Coyotes Fan; formerly known as @ PamYotesFan; married to @desertrat214",2166,2223,"Arizona, USA",Arizona,2,0.127
13,3954,710977902347550720,"'My Voice Will Be Heard!' 'Livid' Trump Supporter Goes Off on GOP, National Review in Viral Video Rant -  https://t.co/xV122DddxQ",2,2,Twitter Web Client,2016-03-18 23:55:15,125128428,amronsomar,Norma  Ramos,2010-03-21 19:57:06,"All the latest in my endeavors to find something to do besides work ~ie~Twitter. etc.~Registered INDEPENDENT~~ Prolife,Teaparty,The  CONSTITUTION RULES",14788,15192,Arizona/Central Calif,Arizona,0,1.0
14,4116,710977849998573571,RT @VanityFair: The Clooneys are going up against Trump by hosting two fund-raisers for Hillary Clinton https://t.co/m9s1qFgNBy https://t.c…,217,0,Twitter for iPhone,2016-03-18 23:55:03,6419872,paulvalach,paul valach,2007-05-29 16:52:18,"Hump Day they call it. Get a jump on the rest of the week. I can help with any Social Media needs, video, photography. You can check out all my links at …",4623,4565,"ARIZONA, The Wild Wild West",Arizona,0,1.0
15,4787,710977640627240960,"RT @ednat62: Trump:I consult myself on foreign policy,‘I have a very good brain’ https://t.co/K7gySv9iCr WizardofOz gave it to me https://t…",12,0,Twitter for Android,2016-03-18 23:54:13,1486854493,PoliticalMinion,Political Minion,2013-06-06 04:43:23,Educated genetically altered Arizona constituent looking for commonsense answers to tough problems.,799,1365,Arizona,,0,1.0
16,5155,710977522809188353,RT @GulfDogs: ★ISIS or GOP? Jeb Bush PAC Kept 'Box of Severed Trump Heads' in Office - The Gateway Pundit -&gt;https://t.co/ScXDDUOABJ★#CCOT★#…,1,0,Twitter for Android,2016-03-18 23:53:45,2263754155,rhUSMC,rh,2013-12-27 04:08:27,"God  Country  Corps 
 Semper Fi    RIGHT   NO BS",1103,933,"Arizona, USA",,2,0.127
