,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
1,490,710977927953842176,"@Kent_in_Utah So your accusation of Trump is one of  reckless abandon and apathy, whereas with Clinton it's not?",0,0,Twitter for Android,2016-03-18 23:55:22,44204893,4hill2015,Terrell Williams,2009-06-02 20:50:46,"LDS. BYU Sports-Writer, Reporter for https://t.co/2XG94gM9qu. BYU Recruiting, Football, Basketball, news, hoops, FWAA Member.",7762,5309,Orem Utah,Mountain Time (US & Canada),0,1.0
2,5147,710967293862219777,"Why #pharmaharmed should be anti Hillary Clinton
https://t.co/jOPg0eMMLF",1,1,Mobile Web,2016-03-18 23:13:06,3116617103,BenzoBrains,Jocelyn Pedersen,2015-03-26 01:08:13,"Educator, performer, and mother of two. Passionate advocate on behalf of those harmed by psychiatric medication and in helping them reclaim their health.",213,135,"Utah, USA",Mountain Time (US & Canada),1,0.265
3,5292,710966941486174208,RT @Riley_Jenkins1: have issues w/ Trump &amp; Cruz &amp; kasich is dem but respect will of people &amp; will vote 4 repub nominatd wont leave my kids …,4,0,Twitter for Android,2016-03-18 23:11:42,17148456,gcamp4,Gaston Campbell,2008-11-04 04:04:51,I am a proud supporter of Trump. Christian. patriot. US vet. Love USA with all my heart. No PC,5596,4715,Utah,America/Denver,0,1.0
4,7820,710961886850785280,RT @ABCLiz: Clinton camp reaches 1 million contributors –  https://t.co/iAI7d6DHZw,37,0,Twitter for Android,2016-03-18 22:51:37,33422843,Claudie4,Claudia Crosland,2009-04-20 04:27:18,"Trial watcher, music lover, love reading books, love my friends and family.  Mother. Progressive",481,412,Utah77777777777776777777677777,Mountain Time (US & Canada),0,1.0
5,8940,710959654222700544,RT @BernieSanders: Sec. Clinton says she got to travel the world. Did she happen to notice that every major country guarantees health care …,5601,0,Twitter for Android,2016-03-18 22:42:45,510871910,e00donohue,Ernest Donohue,2012-03-01 21:20:42,"Love eating, drinking, music, and the outdoors",399,374,Northern Utah,Mountain Time (US & Canada),0,1.0
6,9469,710958568514531328,"RT @DavidLimbaugh: It’s premature, anyway, to talk about voting for Trump over Clinton. It’s far from over yet. I am a couple billion perce…",105,0,Twitter for Android,2016-03-18 22:38:26,415882402,RaAnnClegg,RaAnn Clegg,2011-11-18 23:14:18,"Author, Certified Liife Coach, Reiki Master, Tarot & Rune Reader, Designer, Painter, Various Interests, Blind",34,75,Eastern Utah,Pacific Time (US & Canada),0,1.0
7,9500,710958507940454400,RT @CarlyFiorina: Ted Cruz is a leader and a reformer who isn’t afraid to ruffle feathers when he is fighting for the American people. http…,675,0,Twitter for Android,2016-03-18 22:38:11,415882402,RaAnnClegg,RaAnn Clegg,2011-11-18 23:14:18,"Author, Certified Liife Coach, Reiki Master, Tarot & Rune Reader, Designer, Painter, Various Interests, Blind",34,75,Eastern Utah,Pacific Time (US & Canada),0,1.0
8,10111,710957259598094336,"RT @CarlyFiorina: If we judge a leader on his record, we know what Trump will do: use public power for private gain. https://t.co/GqCHyBbW2L",1413,0,Twitter for Android,2016-03-18 22:33:14,1673406060,Jacki8182,Jacki - #never trump,2013-08-15 15:31:29,I have been happily married since I was 18 I have 4 beautiful children I love God and my country I stand with Israel and I support cruz.#nevertrump,1578,1569,utah ,,0,1.0
9,10390,710956751701540864,SLC Mayor Jackie Biskupski to canvass for Clinton Saturday https://t.co/CV7XIN97cQ,0,1,Hootsuite,2016-03-18 22:31:13,19846812,AJUTAH,Andrew James,2009-02-01 04:38:02,"Tweeting #Utah news | Author, Reporter, SEO Consultant",4737,2986,"Salt Lake City, Utah",Mountain Time (US & Canada),0,1.0
10,12284,710953385063624704,"RT @CarlyFiorina: If we judge a leader on his record, we know what Trump will do: use public power for private gain. https://t.co/GqCHyBbW2L",1413,0,TweetDeck,2016-03-18 22:17:50,239533860,CoxWebDev,Seth,2011-01-17 21:07:47,"#BYU, #WebDevelopment, #FamilyMan, #American, #Conservative, #Mormon",1543,1213,Utah,Pacific Time (US & Canada),0,1.0
11,12782,710952443329253377,SLC Mayor Jackie Biskupski to canvass for Clinton Saturday https://t.co/XbaQ5xv6N0 #Utah,0,0,Buffer,2016-03-18 22:14:06,3021903990,UtahPage,UtahPage,2015-02-16 04:50:41,,8990,54,"Salt Lake City, Utah",,1,0.265
12,13157,710951736618262528,"Can you recommend anyone for this #Retail #job? https://t.co/UxquRymKP6 #Clinton, UT #Hiring #CareerArc",0,0,TweetMyJOBS,2016-03-18 22:11:17,59989716,tmj_ut_retail,TMJ-UT Retail Jobs,2009-07-25 05:23:13,Follow this account for geo-targeted Retail job tweets in Utah Non-Metro. Need help? Tweet us at @CareerArc!,333,300,Utah,Central Time (US & Canada),5,0.018
13,14579,710949090519941121,SLC Mayor Jackie Biskupski to canvass for Clinton Saturday https://t.co/0PCOVWu6HQ https://t.co/hM7Wl4STgX,1,1,Twitter Web Client,2016-03-18 22:00:46,28152330,fox13now,FOX 13 NOW,2009-04-01 17:43:12,We're the team at Fox 13 News in Salt Lake City. If you see news happening call (801) 536-1313 or email news@fox13now.com,76884,7261,"Salt Lake City, Utah",Mountain Time (US & Canada),0,1.0
14,14661,710948954599350272,RT @realDonaldTrump: Hillary Clinton has been involved in corruption for most of her professional life!,14571,0,Twitter for iPhone,2016-03-18 22:00:14,3279173136,Tom_the_Bruce,Tom,2015-07-14 04:59:04,24 years old. Right-winger. Trump supporter.,13,133,"Utah, USA",,0,1.0
15,15094,710948183145197568,"Hillary Clinton told Google to block videos, and they did it.  Can't seem to find this on major news outlet though. https://t.co/zV6bZAu04h",1,0,TweetDeck,2016-03-18 21:57:10,16230687,geoffkeene,Geoff 'Zag' Keene,2008-09-11 00:16:32,Design Director of @Sandswept. Developing @UnfortSpacemen. Girlfriends are @KateitaK & @UnrealEngine. Room for several more waifu. Opinions are mine.,1992,614,"Utah, Unfortunately",Mountain Time (US & Canada),0,1.0
16,16379,710945851158372353,RT @brendonwalsh: Hillary Clinton lying for 13 minutes straight. https://t.co/BMABcl86Q3,19,0,Twitter for Android,2016-03-18 21:47:54,186314722,NGC_660,juno,2010-09-03 03:23:39,hey the planet is dying what's up,292,95,utah,Central Time (US & Canada),0,1.0
17,16649,710945487977783296,RT @brendonwalsh: Hillary Clinton lying for 13 minutes straight. https://t.co/BMABcl86Q3,19,0,Twitter for Android,2016-03-18 21:46:27,189677071,christlarson,Smokestack,2010-09-11 22:52:46,"The hero Twitter deserves, but not the one it needs right now.",140,554,Utah,,0,1.0
18,17122,710944591927586816,RT @BernieSanders: Sec. Clinton says she got to travel the world. Did she happen to notice that every major country guarantees health care …,5601,0,Twitter for Android,2016-03-18 21:42:54,195780396,Cera_Music,Gibby,2010-09-27 15:21:54,Music and Satan •Insta: ceraofficialmusic,469,131,Utah,Mountain Time (US & Canada),0,1.0
19,18815,710942166579712000,RT @BernieSanders: Sec. Clinton says she got to travel the world. Did she happen to notice that every major country guarantees health care …,5601,0,Twitter for iPhone,2016-03-18 21:33:15,264934897,elias_brooks,Elias Brooks,2011-03-12 18:15:13,“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. -Nelson Mandela,148,302,"Salt Lake City, Utah",Central Time (US & Canada),0,1.0
