,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
1,679,716052272333979649,"Tuning into to watch #inners to see another replay of Trump and Matthews for the millionth time, move on! Men have no say in our choice!",2,3,Twitter Web Client,2016-04-01 23:58:59,277845186,jacqui4peace,☮JacquiUpNorth☮,2011-04-06 04:29:52,"Progressive Dem,Wife,Mom,USAF Mom, I LOVE #OBAMA won't tolerate people who bash him. #Springsteen #Maddow #Packers #Peace #ImWithHer #NeverBernie",1763,1484,Way up north Wisconsin ,Central Time (US & Canada),1,0.265
2,1537,716051938501009408,"RT @AdamSilvera: If I were J.K. Rowling, I'd use my powers for good and promise a new Harry Potter novel if Trump isn't elected president.…",472,0,Twitter for iPhone,2016-04-01 23:57:40,165289560,onezenkat,Kathryn Thoms,2010-07-11 04:24:24,Writer. Keeper of miniature humans.  Whovian. Runner. Geek. Powered by work & well caffeinated optimism.,458,593,"Wisconsin, USA",,0,1.0
3,2499,716051582324834304,"RT @patrickdmarley: .@GovWalker says it will be ""a lot easier"" to support nominee if it is @tedcruz but doesn't directly address whether he…",3,0,Twitter for iPhone,2016-04-01 23:56:15,15207885,cmowley,candice owley,2008-06-23 15:02:04,Health care labor leader. Nurse activist.,266,192,"Bay View, Wisconsin USA",Central Time (US & Canada),0,1.0
4,2555,716051561873481729,Scott Walker: 'High-risk proposition' for Donald Trump to assail my record https://t.co/zAdOv2BeTL,0,0,dlvr.it,2016-04-01 23:56:10,15752446,WiStateJournal,Wis. State Journal,2008-08-06 17:28:34,"#Madison's largest reporting team. The best source for news, analysis and features about #Wisconsin business, politics, crime, entertainment, sports and more!",45412,20596,"Madison, Wisconsin",Central Time (US & Canada),0,1.0
5,2781,716051472283262976,"Andrew Jackson would shoot you if you insulted his wife, our president was a murderer. Fact. Now go vote for Trump and stop being a baby.",3,3,Twitter for Android,2016-04-01 23:55:49,53409654,BigJBeezy,John Leksander,2009-07-03 15:12:50,"Recording artist, Owner/Operator LeksIII Productions/Construction, Executive Contributor uHeartRadio, Global Radio DJ, Father of 4 Ladies, #Trump2016",12625,8727,WIsconsin,Central Time (US & Canada),0,1.0
6,3365,716051262240854016,"RT @benshapiro: Trump on Wed: Law should punish women for abortion.
Thurs: Law should punish abortionists.
Fri: Law should stay how it is.…",1640,0,Twitter Web Client,2016-04-01 23:54:59,283622983,longlakejohn,longlakejohn,2011-04-17 17:28:15,"USN,  Nam- Vet, Constitutional Conservative, Married Christian, NRA, States Rights, Friend of Bill W.  AMERICAN PATRIOT",2640,2636,Wisconsin,Central Time (US & Canada),0,1.0
7,3521,716051206469263360,RT @billmaher: Just watched the adult who is our current president discuss the grave issue of nukes...and then think if it was President Fo…,2631,0,Twitter for iPhone,2016-04-01 23:54:45,185503887,DanLarsen88,Dan Larsen,2010-09-01 04:07:19,History will be kind to me for I intend to write it. -Winston Churchill,123,517,Wisconsin USA,Central Time (US & Canada),0,1.0
8,4057,716051019701096448,"RT @benshapiro: Trump on Wed: Law should punish women for abortion.
Thurs: Law should punish abortionists.
Fri: Law should stay how it is.…",1640,0,Twitter for iPhone,2016-04-01 23:54:01,2362831658,SchachtNathan,Nathan Schacht,2014-02-26 15:24:05,Father. Husband. Catholic. Conservative. Former aide to @PRyan & @RepDaveCraig. Former writer @mediatrackers. Wisconsin Born & Raised. #NeverTrump,31629,15581,Southeastern Wisconsin,Central Time (US & Canada),0,1.0
9,4324,716050925459283968,"30,000 striking Chocago teachers and supporters just marched downtown Chicago. When they passed Trump tower they... https://t.co/ov9D3jVoCG",0,0,Facebook,2016-04-01 23:53:38,379885122,OccupyMilwaukee,Occupy Milwaukee,2011-09-25 18:35:01,,7816,36,"Milwaukee, Wisconsin",Pacific Time (US & Canada),0,1.0
10,4430,716050887341268993,"""Trump is probably the most pro-choice pro-life person probably ever. Believe me. Ever."" - Trump",0,0,Twitter for Android,2016-04-01 23:53:29,298346276,uwdrew,Drew,2011-05-14 04:42:12,Conservative. Horrible Person. Will RT any and all praise.,120,575,"Milwaukee, Wisconsin",Central Time (US & Canada),0,1.0
11,4488,716050867535753217,RT @billmaher: Just watched the adult who is our current president discuss the grave issue of nukes...and then think if it was President Fo…,2631,0,Twitter for iPad,2016-04-01 23:53:25,950756502,ChauncineC,Andrea C Chambliss,2012-11-16 01:24:17,"Spicy, intellectual and opinionated mom of two.",46,218,Wisconsin,,0,1.0
12,4530,716050853946204161,"RT @BOSSYtxmar55: Roger Stone:Trump Voters: Come 2Cleveland 2Stop 'The Big Steal' 
#Trump #WisconsinForTrump 
https://t.co/1VT9WGhvOh https…",16,0,Twitter for Android,2016-04-01 23:53:21,4625559136,Danielle9g,Ernie Neugebauer,2015-12-27 21:29:44,"Christian LDS, respect the American Flag, independent conservative, family, 2nd amendment",445,375,"Wisconsin, USA",,2,0.127
13,5265,716050597544386560,"RT @mcspocky: An Open Letter to Trump Voters from His Top Strategist-Turned-Defector https://t.co/1c2pKtVV95
#DumpTrump #UniteBlue https://…",45,0,Twitter Web Client,2016-04-01 23:52:20,44491694,senkwrites,Scott Enk,2009-06-03 23:45:04,"A Milwaukee-area writer, editor, and activist, I follow social/political issues; theater, film, and other media; the Internet; and those who make them all go.",1303,2438,"Milwaukee area, Wisconsin, USA",Central Time (US & Canada),2,0.127
14,5508,716050521505705986,RT @HillaryClinton: Trump's attacks on women's health are just as bad as the rest of the GOP candidates'. https://t.co/fpYTypTym9 https://t…,1697,0,Twitter for Android,2016-04-01 23:52:02,137751142,Karl_Huebner,Karl Huebner,2010-04-27 17:04:36,retweets are not endorsements,147,162,"Jefferson County, Wisconsin",Central Time (US & Canada),0,1.0
15,5757,716050439989510144,"RT @CNN: Ben Carson: Donald Trump and I ""both have the same goal"" – to save this country https://t.co/UYpqI3w42L @TheLeadCNN https://t.co/B…",388,0,Twitter Web Client,2016-04-01 23:51:43,506737469,AlecWeitzer,Alec weitzer,2012-02-28 02:22:04,"Carthage College '18, Owner of Leaf Police LLC and Gutter Guard Distribution of Wisconsin LLC. Just looking to make a difference in the world.",144,105,"New Berlin, Wisconsin",,0,1.0
16,5893,716050394263191553,"RT @mitchellvii: During Trump's TERRIBLE, AWFUL, NO GOOD, HORRIFIC WEEK, he just gained 4 points according the Reuters.",378,0,Twitter for Android,2016-04-01 23:51:32,137716570,snickersbuddy,Alexis Dreamer,2010-04-27 14:50:29,,209,323,Wisconsin,,0,1.0
17,6099,716050328270016512,"RT @benshapiro: Trump on Wed: Law should punish women for abortion.
Thurs: Law should punish abortionists.
Fri: Law should stay how it is.…",1640,0,Twitter Web Client,2016-04-01 23:51:16,44491694,senkwrites,Scott Enk,2009-06-03 23:45:04,"A Milwaukee-area writer, editor, and activist, I follow social/political issues; theater, film, and other media; the Internet; and those who make them all go.",1303,2438,"Milwaukee area, Wisconsin, USA",Central Time (US & Canada),0,1.0
18,6217,716050279444189184,RT @WiscJobsNow: RT @USATODAY: Trump sows chaos in Wisconsin and beyond: Column https://t.co/NTQkEItieD,2,0,Twitter for iPhone,2016-04-01 23:51:04,3146876119,beehonest01,El Gato,2015-04-10 03:15:03,Do the right thing. Walk your talk,351,559,Central Wisconsin ,Central Time (US & Canada),0,1.0
19,6628,716050136284135424,"Better get some more PACs because the people have already spoken... We have a new President, and his name is TRUMP https://t.co/ElpUoF6jzX",0,0,Twitter Web Client,2016-04-01 23:50:30,710833727958597632,xcaliber12345,Xcaliber,2016-03-18 14:22:22,,80,153,"Wisconsin, USA",,0,1.0
20,6653,716050126712750080,Donald Trump wants to bang his daughter. If he hasn't already.,0,1,Twitter for iPad,2016-04-01 23:50:28,540278873,sammerdee,The Hamburglar,2012-03-29 21:08:19,I speak fluent cat.,210,200,Wisconsin,Eastern Time (US & Canada),0,1.0
21,7083,716049982575550464,@CarlyFiorina @SenMikeLee @heidiscruz @tedcruz Not with me and I'm a woman and I support # Trump 100%!,0,1,Twitter for Android,2016-04-01 23:49:54,137716570,snickersbuddy,Alexis Dreamer,2010-04-27 14:50:29,,209,323,Wisconsin,,1,0.265
