,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
1,1097,717500774314475520,RT @Zac_Petkanas: BREAKING: @NYDailyNews put out the audio from @BernieSanders's interview. Listen here --&gt; https://t.co/sRlGzzD3oz,120,0,Twitter for iPhone,2016-04-05 23:54:49,24632311,jmood88,TheAfrocentricAsian,2009-03-16 02:14:41,The award winning Blasian Sensation representing the #WhoDatNation. My tweets represent the views of my employers and are made with their consent.,1514,2108,Iowa ✈️ Wyoming ✈️ Ukraine,Quito,0,1.0
2,1750,717500090454134784,"RT @StanLeeGee: New York Daily News interview was pretty close to a disaster for Bernie
 #UniteBlue #Hillary #ImWithHer #ShesWithUs https:/…",5,0,Twitter for iPhone,2016-04-05 23:52:06,424654706,Iamzteach,michele belcastro,2011-11-30 01:25:27,"After 33 years of teaching, I got smart, retired, and took up golf! Diehard Liberal. Love cats, JFK, and golf, not necessarily in that order! :-)  #UniteBlue",1926,1326,"wyoming, PA",Eastern Time (US & Canada),4,0.033
3,1853,717499968152403968,RT @sweetnonnie: Sanders Burns Himself in New York Daily News Interview: Media Roundup https://t.co/Tdr1ZpHaNS,2,0,Twitter for iPhone,2016-04-05 23:51:37,424654706,Iamzteach,michele belcastro,2011-11-30 01:25:27,"After 33 years of teaching, I got smart, retired, and took up golf! Diehard Liberal. Love cats, JFK, and golf, not necessarily in that order! :-)  #UniteBlue",1926,1326,"wyoming, PA",Eastern Time (US & Canada),0,1.0
4,2006,717499751952822272,RT @woodhouseb: Bernie Sanders Struggles To Explain How He Would Break Up The Banks https://t.co/lPwoBcp9Q5 via @TPM,12,0,Twitter for iPhone,2016-04-05 23:50:46,424654706,Iamzteach,michele belcastro,2011-11-30 01:25:27,"After 33 years of teaching, I got smart, retired, and took up golf! Diehard Liberal. Love cats, JFK, and golf, not necessarily in that order! :-)  #UniteBlue",1926,1326,"wyoming, PA",Eastern Time (US & Canada),0,1.0
5,2156,717499575464890370,"RT @docrocktex26: Sanders: I would lose if election decided by black voters https://t.co/G4ZBbUQ7lT h/t @GoldieAZ 
Omitted from the NYT pos…",164,0,Twitter for iPhone,2016-04-05 23:50:03,424654706,Iamzteach,michele belcastro,2011-11-30 01:25:27,"After 33 years of teaching, I got smart, retired, and took up golf! Diehard Liberal. Love cats, JFK, and golf, not necessarily in that order! :-)  #UniteBlue",1926,1326,"wyoming, PA",Eastern Time (US & Canada),0,1.0
6,2277,717499415024570368,Bernie Sanders is on my campus today...,0,1,Twitter for iPhone,2016-04-05 23:49:25,245146535,GHD278,Greg Durham,2011-01-31 00:29:41,Χαλεπὰ τὰ καλά,506,712,"Laramie, Wyoming",Mountain Time (US & Canada),0,1.0
7,2949,717498611710361600,RT @cp2austin: Article won't get much air time on @MSNBC. Not helpful w/ their desire for close #DEMS race. https://t.co/GX1ezxIStp https:/…,4,0,Twitter for iPhone,2016-04-05 23:46:14,424654706,Iamzteach,michele belcastro,2011-11-30 01:25:27,"After 33 years of teaching, I got smart, retired, and took up golf! Diehard Liberal. Love cats, JFK, and golf, not necessarily in that order! :-)  #UniteBlue",1926,1326,"wyoming, PA",Eastern Time (US & Canada),1,0.265
8,4120,717497203040722944,Crowd inside Bernie Sanders rally in Laramie https://t.co/YvTrNgwbNf,21,33,Twitter for iPhone,2016-04-05 23:40:38,369235787,AaronGroffTV,Aaron Groff,2011-09-07 00:47:38,"Morning/Noon Anchor, News/Sports/#Election2016 for KTWO, ABC Wyoming. From Miami Beach, FL. @merrillcollege grad",405,1580,"Casper, Wyoming",Mountain Time (US & Canada),0,1.0
9,6013,717495121474748416,Over two hours until Bernie Sanders is set to speak. LOUD crowd here in Laramie #Election2016 https://t.co/yAa3V8K8C3,7,15,Twitter for iPhone,2016-04-05 23:32:22,369235787,AaronGroffTV,Aaron Groff,2011-09-07 00:47:38,"Morning/Noon Anchor, News/Sports/#Election2016 for KTWO, ABC Wyoming. From Miami Beach, FL. @merrillcollege grad",405,1580,"Casper, Wyoming",Mountain Time (US & Canada),1,0.265
10,7798,717493048779800576,"https://t.co/i6ltqSZ8ZQ : Sanders looking to young voters in Wyoming: CHEYENNE, Wyo. — Bernie Sanders will make… https://t.co/0SWIT5hI6C",0,0,dlvr.it,2016-04-05 23:24:07,179271464,Thermopolis_WY,Thermopolis,2010-08-16 22:51:18,"The latest News & Views from Thermopolis, Wyoming. Powered by http://t.co/kzmQwJIxfD",161,95,"Thermopolis, Wyoming",Pacific Time (US & Canada),0,1.0
11,9213,717491291240566784,RT @UpshotNYT: Bernie Sanders didn't screw up when he started talking about breaking up big banks. https://t.co/TYItfRJ1by,103,0,Twitter for iPhone,2016-04-05 23:17:08,50889806,yellowstonemike,Michael P Adams,2009-06-26 02:44:16,"intellectual loving: travel, intelligence, hiking, photography, environment; entrepreneurial endeavor; best practices/SEO/content, marketing/collaboration, GCI",1539,2229,"Jackson, Wyoming",Mountain Time (US & Canada),0,1.0
12,9690,717490698002440192,I hear there's an assembly of economic illiterates at the A&amp;S Auditorium right now waiting to hear Bernie Sanders speak #myliberalcampus,0,2,Twitter Web Client,2016-04-05 23:14:47,226245756,Andrew2pt0,AndrewServer,2010-12-13 17:58:42,"(Born Again) Wyomingite, Chairman of the Wyoming Federation of College Republicans, political science major/ history minor, Catholic, Capitalist.",124,166,"Laramie, Wyoming",Mountain Time (US & Canada),1,0.265
13,9704,717490670823288832,Doors now open at the Bernie Sanders rally in Laramie. Some supporters waiting up to 8 hours in line #Election2016,8,11,Twitter for iPhone,2016-04-05 23:14:40,369235787,AaronGroffTV,Aaron Groff,2011-09-07 00:47:38,"Morning/Noon Anchor, News/Sports/#Election2016 for KTWO, ABC Wyoming. From Miami Beach, FL. @merrillcollege grad",405,1580,"Casper, Wyoming",Mountain Time (US & Canada),1,0.265
14,9966,717490303976890368,Bernie Sanders supporters on campus utilizing capitalism by selling buttons to supporters waiting in line. #hypocrisy,0,1,Twitter Web Client,2016-04-05 23:13:13,226245756,Andrew2pt0,AndrewServer,2010-12-13 17:58:42,"(Born Again) Wyomingite, Chairman of the Wyoming Federation of College Republicans, political science major/ history minor, Catholic, Capitalist.",124,166,"Laramie, Wyoming",Mountain Time (US & Canada),1,0.265
